filename,gt
113,|-s_1-|-|-s_8-s_9-|-s_4-|-|
114,|-|-s_3-s_7-s_3-s_1-|-|-s_7-s_5
115,s_8-s_4-s_1-s_8-s_0-|-|-|-|-s_0
116,s_2-|-|-|-|-|-|-s_6-|-|
117,|-|-|-|-|-|-|-s_4-|-s_1
118,|-s_7-|-s_3-s_1-|-|-|-s_8-|
119,s_2-|-|-|-s_7-|-|-|-s_6-|
120,s_3-s_6-s_6-s_9-s_3-|-|-|-s_6-s_6
121,|-s_6-|-s_7-|-s_3-|-s_0-|-|
122,s_3-|-s_0-|-|-|-s_8-|-s_8-|
123,|-|-|-|-s_1-|-s_1-s_1-s_8-|
124,s_4-|-s_5-|-|-|-|-|-|-s_3
125,|-|-s_3-s_4-s_7-|-s_7-s_8-s_0-|
126,|-|-|-s_4-|-s_4-|-|-s_1-s_8
127,|-s_1-s_3-|-|-s_4-|-|-s_5-s_3
128,|-s_2-s_7-s_6-|-|-|-|-|-s_6
129,s_0-|-|-|-s_6-s_2-s_4-s_2-s_5-|
130,s_7-|-s_4-|-|-s_2-s_6-|-s_7-s_6
131,s_2-s_1-|-s_3-s_3-s_7-s_4-s_1-|-s_1
132,s_5-|-s_8-|-|-|-|-|-s_4-s_2
133,s_1-s_4-s_6-|-|-s_6-|-s_2-s_9-s_0
134,|-|-|-s_0-|-s_4-|-|-s_1-|
135,|-s_2-|-|-s_1-s_6-|-|-s_7-|
136,|-s_9-|-s_2-|-s_1-s_3-s_8-s_0-s_1
137,s_2-s_9-|-s_9-|-|-s_5-|-|-|
138,s_8-s_7-s_8-|-s_7-s_9-s_1-|-|-s_4
139,|-s_4-s_4-|-s_4-s_7-|-|-|-s_6
140,|-s_8-s_8-s_5-|-|-|-|-|-s_5
141,|-|-|-s_4-s_5-s_7-|-|-s_3-s_0
142,|-s_6-|-|-|-s_0-s_3-|-s_8-s_5
143,|-s_4-s_4-s_5-|-s_1-s_1-|-s_8-s_9
144,|-|-|-|-|-|-s_6-s_6-s_0-s_6
145,|-s_3-|-|-s_2-s_6-s_3-|-s_8-s_9
146,|-|-s_8-|-|-s_1-s_3-s_7-|-s_9
147,|-s_4-s_3-|-s_6-|-|-|-s_3-|
148,s_3-s_2-s_8-s_3-|-s_1-s_8-|-s_1-|
149,|-s_1-|-s_6-|-s_1-|-s_5-|-|
150,|-s_5-s_6-s_0-|-s_3-s_3-|-|-s_2
151,s_8-|-s_1-s_1-|-s_7-s_5-s_6-s_4-|
152,s_1-s_9-|-|-|-|-s_6-s_6-s_5-|
153,s_2-|-|-|-s_5-|-|-s_9-s_6-|
154,s_9-|-s_7-|-s_7-s_1-s_2-s_7-s_1-|
155,|-|-s_5-|-|-s_5-|-s_7-|-s_1
156,s_0-s_3-|-|-|-|-s_8-|-|-|
157,|-|-s_7-|-s_6-|-s_0-s_3-|-s_6
158,s_3-|-s_6-s_5-|-s_2-|-|-s_3-|
159,|-s_1-|-|-|-s_2-s_0-|-s_4-s_0
160,s_6-|-s_8-s_2-s_6-s_3-|-s_1-s_3-s_8
161,|-|-|-s_7-|-|-s_2-|-|-s_2
162,s_6-|-|-s_6-s_9-|-s_7-|-|-|
163,s_4-s_1-s_1-s_4-s_7-s_2-|-|-s_4-|
164,s_1-s_2-s_1-|-s_3-|-|-s_8-|-s_3
165,s_6-s_4-s_7-|-s_2-s_6-s_2-s_7-|-|
166,s_1-|-|-s_7-|-|-|-s_1-|-s_9
167,s_1-|-s_0-s_9-s_6-|-s_2-s_9-|-s_4
168,s_8-|-|-s_1-s_3-s_3-s_9-s_6-|-s_7
169,|-|-s_3-s_3-|-s_2-s_2-s_6-|-s_2
170,|-s_2-|-s_1-|-|-s_1-|-|-s_3
171,s_7-|-s_7-s_4-s_8-|-|-s_6-s_0-|
172,s_6-|-|-s_3-|-s_0-s_1-s_9-s_6-s_1
173,|-s_4-|-s_6-|-|-s_9-s_7-|-|
174,|-s_3-|-s_3-|-|-|-s_4-s_2-|
175,s_3-|-s_4-s_9-s_8-s_7-|-s_4-|-s_8
176,|-|-s_7-s_6-s_4-s_6-s_9-s_9-s_5-|
177,|-s_9-s_3-|-|-s_3-|-|-|-|
178,|-|-|-s_2-s_2-s_0-s_7-s_0-|-s_5
179,s_6-s_7-|-|-s_7-s_8-s_9-s_1-|-s_9
180,s_1-s_8-|-s_9-|-s_5-|-s_5-|-|
181,|-|-|-s_5-s_0-s_9-s_1-s_5-|-|
182,s_0-|-s_2-s_4-|-s_9-s_6-|-|-s_1
183,|-|-s_0-s_6-s_4-|-s_8-|-|-|
184,s_3-|-s_2-s_3-s_0-|-|-|-|-|
185,|-s_1-|-|-s_0-s_7-s_0-|-|-|
186,|-s_9-s_7-|-s_8-|-s_3-s_0-|-s_7
187,|-|-|-|-s_0-|-s_7-s_6-|-s_6
188,s_1-s_5-s_4-|-|-|-s_8-|-|-|
189,|-|-|-s_1-|-|-s_5-s_2-|-|
190,s_1-|-|-|-s_5-|-|-|-|-s_4
191,s_4-|-s_2-|-|-|-s_6-s_4-|-s_3
192,|-|-s_3-s_9-s_4-s_1-s_2-s_1-|-|
193,|-|-s_2-|-s_7-|-s_8-|-|-s_6
194,|-|-|-s_1-s_3-|-|-s_8-|-|
195,s_8-|-s_4-s_2-s_3-|-s_1-s_0-s_4-s_2
196,|-s_6-|-s_9-|-|-s_0-|-s_7-s_5
197,s_7-s_8-s_0-|-s_2-|-s_7-|-|-s_8
198,s_5-s_8-s_5-s_9-|-|-s_4-s_5-s_8-|
199,s_3-|-|-|-|-|-|-s_2-s_3-|
200,s_6-s_8-|-|-|-|-|-s_0-s_3-|
201,|-s_2-|-|-|-s_4-|-s_4-s_6-s_9
202,s_7-s_6-s_3-|-s_6-|-s_3-|-|-|
203,s_7-|-|-s_4-s_2-s_5-s_0-|-s_6-|
204,|-s_7-s_9-|-|-s_3-s_1-|-|-s_6
205,s_1-|-|-|-|-s_2-|-|-|-|
206,s_3-|-|-s_4-|-|-|-|-|-s_5
207,s_5-|-s_1-|-s_2-s_1-s_0-|-s_0-|
208,|-s_5-|-|-|-s_1-s_9-s_6-s_6-s_0
209,s_2-s_2-s_3-s_1-s_4-s_3-s_9-s_1-|-s_3
210,s_1-s_6-s_3-s_5-s_1-|-s_1-|-s_4-|
211,|-|-|-s_6-s_6-|-s_7-|-s_2-s_3
212,|-s_0-s_4-s_2-s_5-s_2-s_5-|-s_7-|
213,s_1-|-s_7-s_7-|-|-|-|-s_2-s_1
214,|-s_8-|-|-s_2-|-|-s_0-|-|
215,s_0-s_0-s_0-s_8-s_8-s_9-s_2-|-|-s_7
216,s_8-|-s_0-s_2-|-s_8-s_3-s_9-s_7-|
217,s_3-|-s_4-s_8-s_1-s_0-|-|-s_2-s_8
218,|-s_1-s_8-s_2-s_8-s_3-s_5-|-s_2-|
219,s_6-|-|-s_0-s_1-s_5-s_9-|-s_6-s_8
220,s_3-s_2-|-|-s_5-|-s_4-|-|-|
221,s_3-|-|-|-|-s_0-s_8-|-s_0-s_5
222,|-|-s_5-|-|-s_4-|-|-s_9-s_6
223,s_1-|-s_1-s_5-|-|-s_8-s_1-|-|
224,|-|-s_5-s_8-|-|-|-|-|-s_8
225,s_8-s_7-|-|-s_6-|-|-|-|-s_6
226,s_7-s_3-|-s_2-|-|-s_5-s_7-s_3-|
227,|-s_6-s_8-|-s_8-s_7-s_0-|-s_4-|
228,|-|-|-s_2-s_4-|-s_6-s_9-|-s_6
229,s_6-s_5-s_3-s_7-|-|-|-s_5-|-s_8
230,|-s_0-s_5-|-|-|-s_4-s_7-s_1-|
231,|-s_5-s_9-s_0-s_2-|-s_9-s_0-|-s_5
232,|-|-s_3-s_2-|-|-s_3-|-|-s_7
233,|-s_7-|-s_5-s_3-|-|-|-s_9-|
234,|-s_5-|-|-|-|-s_4-|-s_1-|
235,|-|-s_0-s_9-s_8-|-s_7-|-s_1-s_5
236,|-|-s_9-|-s_6-|-s_1-|-|-s_4
237,|-s_1-s_0-s_7-|-|-s_2-s_1-|-|
238,s_7-|-s_1-|-|-|-|-s_4-|-s_4
239,s_9-s_4-|-|-s_5-s_1-s_0-s_1-s_4-s_3
240,s_7-|-s_2-s_7-|-s_5-s_8-|-|-s_9
241,|-|-s_9-|-|-s_3-s_1-s_4-|-s_8
242,|-s_2-|-|-s_7-|-s_9-|-s_9-s_1
243,s_6-s_3-s_0-|-s_4-|-|-|-|-s_1
244,s_6-s_3-s_6-|-|-|-s_0-s_7-s_1-s_0
245,s_8-|-|-s_9-|-|-|-s_1-s_0-s_0
246,|-|-s_1-s_1-s_1-s_9-|-|-|-|
247,|-s_3-|-s_3-s_0-s_8-s_2-s_2-s_2-s_1
248,s_5-s_1-|-s_7-|-|-s_1-s_5-s_0-|
249,|-s_4-s_8-s_1-|-s_7-s_3-|-|-s_7
250,|-s_4-s_4-|-s_9-s_9-|-s_4-s_3-s_5
251,|-s_7-s_8-s_3-s_8-|-s_8-s_2-|-|
252,s_5-s_1-s_1-s_7-|-|-|-s_4-s_7-|
253,s_7-|-|-s_6-|-s_0-|-|-|-s_7
254,|-|-|-s_8-|-s_7-|-|-|-s_7
255,|-s_6-s_5-|-s_1-s_7-|-|-|-s_7
256,|-|-|-|-|-s_3-|-|-|-s_2
257,s_9-s_6-|-s_7-|-s_8-s_0-|-|-|
258,|-|-s_3-s_5-s_7-s_1-s_4-|-|-s_2
259,s_3-|-|-s_2-s_5-s_2-|-s_3-|-|
260,|-s_3-s_1-s_1-s_1-|-|-|-s_3-s_9
261,s_1-s_3-|-|-s_8-s_4-|-|-|-|
262,|-|-|-|-s_1-|-s_6-s_1-s_3-|
263,s_2-s_6-|-s_3-s_6-s_7-|-s_4-s_7-|
264,s_2-|-|-s_1-|-s_6-s_5-|-s_2-s_4
265,|-|-|-s_7-|-s_3-|-|-|-s_1
266,|-|-|-s_0-s_8-s_0-s_2-s_2-s_8-|
267,|-|-s_0-|-|-|-|-s_0-|-s_7
268,|-s_0-s_2-s_8-|-s_9-s_8-|-|-s_9
269,s_3-|-s_8-s_8-s_4-s_8-|-s_9-s_7-s_9
270,s_5-|-|-|-|-s_1-s_6-s_3-s_0-|
271,|-|-|-s_9-s_4-|-|-s_6-|-|
272,s_8-|-|-s_5-|-s_5-|-|-s_1-s_3
273,|-s_6-s_8-|-s_3-|-|-|-|-s_1
274,s_5-|-|-|-|-|-s_3-|-|-|
275,s_4-s_0-s_2-s_6-|-|-|-|-|-|
276,s_9-s_3-|-|-s_4-|-|-s_4-s_0-s_7
277,|-s_1-|-|-|-|-s_1-|-s_2-|
278,s_8-|-|-|-|-s_3-|-|-s_4-s_8
279,s_2-|-|-s_5-|-|-s_8-s_4-|-s_5
280,|-s_1-s_6-s_2-s_5-s_2-|-|-|-s_8
281,|-s_6-s_8-s_8-s_1-|-s_3-s_9-|-s_3
282,s_4-|-|-s_2-|-|-|-s_7-|-|
283,|-s_4-|-|-s_2-|-s_5-s_6-|-s_0
284,s_4-s_3-s_4-|-|-s_1-|-s_5-|-s_7
285,|-|-|-|-s_3-s_7-|-|-s_2-|
286,|-|-s_1-|-s_7-s_2-s_2-|-s_0-s_8
287,s_9-s_6-s_1-|-|-s_3-s_6-s_1-s_4-|
288,|-|-s_5-s_2-|-s_6-s_9-s_8-|-|
289,|-s_7-|-|-s_4-s_8-s_1-|-s_9-s_1
290,|-s_5-s_9-|-s_3-s_9-|-s_7-|-|
291,|-s_6-|-s_4-s_8-|-s_1-|-|-|
292,|-|-|-s_0-|-|-|-s_8-|-s_3
293,|-s_5-|-s_8-s_9-|-s_2-|-s_8-|
294,|-|-|-|-s_5-s_7-|-|-s_0-s_8
295,s_4-s_3-|-|-|-s_2-s_4-|-|-s_2
296,|-|-s_6-s_3-s_4-|-s_4-|-s_6-|
297,s_2-s_8-|-|-|-|-s_0-|-|-s_0
298,s_0-s_5-|-|-|-s_2-|-|-s_3-|
299,s_2-|-s_3-|-|-s_1-s_1-s_9-|-|
300,|-|-|-|-s_7-|-s_8-|-|-s_8
301,|-|-s_5-s_4-|-|-|-|-s_9-|
302,|-|-|-|-s_7-s_6-s_0-s_1-|-|
303,|-s_0-s_7-s_3-|-|-|-s_9-|-s_7
304,|-|-s_5-s_1-|-s_0-|-|-|-s_3
305,|-|-|-s_4-s_7-|-s_0-s_5-s_4-|
306,|-|-|-s_3-|-s_3-s_2-|-|-s_8
307,s_2-|-s_8-s_9-|-s_7-s_8-s_6-s_2-s_9
308,|-s_4-|-s_6-|-s_3-|-s_7-|-|
309,|-|-s_5-|-s_7-|-|-s_8-s_7-|
310,|-|-|-s_5-s_7-s_8-s_6-|-s_9-|
311,s_2-s_2-s_3-s_1-|-s_9-s_0-|-|-|
312,s_7-|-|-s_8-s_0-|-|-s_5-|-|
313,s_5-|-s_1-s_1-|-s_7-s_1-|-|-|
314,|-s_0-|-s_5-|-s_0-s_4-s_8-s_9-|
315,|-|-s_5-|-s_6-s_1-s_4-s_7-|-|
316,s_5-|-s_4-|-s_1-s_9-|-s_8-s_0-|
317,|-|-|-|-s_2-|-|-s_9-|-|
318,s_8-s_6-s_9-s_4-s_1-s_4-|-s_7-s_0-|
319,s_9-s_3-s_5-|-|-s_7-|-|-s_9-s_6
320,s_3-s_8-s_4-|-s_7-|-s_1-s_8-s_9-|
321,s_8-s_0-|-|-|-|-s_6-s_5-s_3-s_9
322,s_9-s_0-s_4-|-s_8-|-s_2-|-s_3-|
323,s_4-|-s_5-|-|-s_0-s_3-|-|-|
324,s_1-|-|-|-s_3-|-s_3-|-s_4-|
325,|-s_6-s_7-s_8-|-|-|-s_5-|-s_1
326,s_0-|-|-s_0-s_4-s_6-|-s_5-|-|
327,s_6-s_7-s_5-|-s_3-|-|-s_4-|-s_4
328,s_3-|-|-s_9-s_1-s_2-s_5-|-s_6-s_1
329,s_7-|-|-|-|-|-|-s_2-s_1-s_0
330,|-s_3-|-s_5-|-|-s_4-|-s_0-|
331,|-|-|-s_3-|-s_8-|-s_2-|-|
332,|-s_1-s_1-s_9-s_4-s_9-s_2-s_0-s_5-|
333,s_7-|-|-s_4-|-s_1-|-s_6-s_1-s_4
334,|-s_9-s_3-|-s_1-|-|-s_9-s_3-s_6
335,s_6-s_1-|-|-s_7-s_7-|-|-s_7-|
336,|-|-|-|-|-s_5-|-|-|-|
337,|-s_1-s_7-s_8-s_0-s_3-s_7-s_3-s_0-|
338,s_1-s_2-|-|-s_2-s_5-|-s_0-s_2-s_3
339,s_8-|-|-s_0-s_2-s_6-|-|-|-|
340,|-|-|-|-|-|-s_2-|-|-s_7
341,|-s_2-|-|-s_6-|-|-|-|-|
342,|-s_9-s_3-s_2-|-s_4-s_8-|-|-|
343,s_5-|-|-s_0-|-|-s_4-s_5-s_2-|
344,|-s_5-s_6-s_8-s_8-|-s_3-|-s_4-s_0
345,s_6-s_8-s_1-s_5-s_9-s_6-|-|-s_4-s_0
346,|-s_6-|-|-s_2-s_5-s_4-s_5-s_1-s_4
347,s_2-|-|-s_2-s_5-|-s_8-s_1-|-|
348,s_5-s_5-|-|-s_3-|-|-s_7-|-|
349,|-|-s_2-s_0-s_4-|-s_2-s_8-s_4-|
350,|-s_7-|-s_5-|-|-s_2-s_2-|-s_5
351,|-s_7-|-|-s_0-|-s_4-|-s_8-s_7
352,s_6-s_8-s_3-|-|-s_3-s_8-|-s_6-|
353,s_9-s_5-s_8-s_7-|-s_2-s_2-s_6-|-s_4
354,s_3-s_2-s_8-|-s_5-|-|-s_8-s_9-|
355,|-|-s_2-s_3-|-s_9-s_3-|-s_6-|
356,|-s_3-|-s_3-|-s_1-s_3-s_6-s_6-s_2
357,|-|-s_1-s_1-|-s_0-|-|-|-|
358,|-|-s_8-|-s_7-|-s_0-|-s_0-|
359,|-s_6-|-|-s_5-|-s_6-|-|-|
360,s_3-|-s_8-s_7-s_5-|-s_0-s_2-|-|
361,s_1-|-s_1-s_6-s_9-|-s_3-|-|-s_6
362,s_4-|-|-s_8-s_4-s_4-s_8-|-s_5-|
363,s_7-|-s_0-|-s_6-s_9-|-|-|-s_1
364,|-|-s_9-s_8-|-|-s_3-|-|-|
365,|-|-|-|-s_3-s_1-s_4-s_0-s_0-|
366,|-s_5-|-s_9-|-|-|-s_8-s_6-|
367,|-|-|-s_1-s_3-|-s_5-|-|-s_0
368,|-s_2-|-|-s_9-s_5-|-|-|-s_9
369,s_4-s_5-s_5-s_0-s_2-|-|-|-s_7-|
370,s_9-s_8-|-s_0-|-|-|-|-s_4-|
371,|-s_3-|-s_0-|-s_9-|-|-|-s_0
372,|-|-|-s_6-|-|-|-s_1-s_0-|
373,s_4-|-s_1-|-s_2-s_9-s_7-s_4-s_5-s_8
374,s_2-s_9-s_5-s_6-s_7-|-|-s_8-|-s_3
375,|-s_2-|-s_3-s_7-|-|-|-s_6-s_3
376,|-|-|-|-|-s_8-s_9-s_7-|-|
377,|-|-s_7-|-|-|-|-|-|-s_2
378,|-|-s_8-s_6-s_7-s_6-s_1-|-|-s_7
379,s_6-|-|-|-|-s_6-s_0-s_7-|-s_4
380,|-|-|-|-|-s_1-s_5-s_3-|-s_0
381,|-|-|-|-|-s_3-s_1-s_2-s_7-s_1
382,|-s_2-s_4-s_7-|-|-|-s_6-s_2-|
383,s_5-|-|-s_1-s_8-|-|-s_5-|-s_1
384,s_0-s_6-|-s_2-s_6-|-|-|-s_3-|
385,|-s_4-s_2-s_7-s_1-s_1-s_8-|-|-|
386,|-s_8-s_8-|-s_7-s_2-|-s_1-|-|
387,s_1-s_9-|-|-s_8-s_4-s_1-|-s_3-|
388,s_8-s_5-s_1-s_1-|-s_0-s_3-|-|-s_0
389,s_9-s_9-|-s_2-s_1-s_1-s_4-s_7-|-|
390,s_2-|-s_4-|-|-s_5-|-s_7-|-s_3
391,s_4-s_4-s_2-s_9-|-|-s_1-|-|-s_2
392,s_6-s_3-|-|-|-s_9-s_1-|-|-|
393,s_7-|-|-s_2-|-s_1-|-|-|-s_2
394,|-s_6-s_2-s_1-s_6-s_0-s_6-s_3-|-|
395,|-|-s_7-s_1-s_2-|-s_4-s_8-s_1-s_7
396,s_5-s_1-|-s_2-s_8-s_9-|-|-|-s_0
397,s_7-s_0-s_9-s_2-s_0-s_2-|-s_5-|-|
398,s_6-s_6-|-|-s_5-s_5-|-s_7-s_8-|
399,s_1-s_4-s_3-s_3-s_8-|-s_5-s_8-s_0-s_9
400,|-s_5-|-|-|-s_2-|-s_2-s_5-|
401,|-|-|-s_8-s_3-s_9-|-|-s_8-|
402,s_7-s_0-s_0-s_5-s_7-s_4-|-s_4-|-s_0
403,|-|-s_2-s_3-|-|-|-|-|-s_1
404,s_0-s_1-s_7-s_8-|-s_4-s_1-s_6-|-s_7
405,s_0-s_6-s_1-s_5-s_9-s_5-|-|-|-s_0
406,|-|-|-s_7-s_5-s_5-s_0-s_8-|-|
407,s_1-s_7-|-s_0-|-|-s_8-s_8-|-s_7
408,|-s_1-s_1-|-s_7-|-s_6-s_9-|-|
409,s_3-|-|-|-s_7-s_9-s_3-s_0-s_3-|
410,|-|-s_8-s_0-|-|-s_8-s_8-s_0-s_8
411,|-s_5-|-s_3-|-|-s_0-|-|-s_5
412,s_8-|-|-s_7-|-|-s_7-|-|-|
413,s_4-|-|-s_6-s_2-|-|-|-|-|
414,|-|-|-|-s_0-|-s_7-|-s_1-s_0
415,|-s_8-|-|-|-|-s_4-s_6-|-|
416,|-|-s_2-s_2-|-s_0-|-|-s_6-s_6
417,|-|-s_4-s_1-|-s_7-s_8-s_7-s_1-|
418,s_7-|-s_9-|-s_9-s_0-s_8-s_2-|-s_8
419,s_7-|-|-|-s_8-s_0-|-|-|-|
420,s_9-s_3-|-s_8-|-s_6-s_1-|-s_2-s_1
421,s_7-s_5-s_3-|-s_4-|-s_1-s_7-|-|
422,|-|-s_0-s_9-|-|-s_3-|-s_5-|
423,s_0-s_7-s_7-|-s_5-s_3-s_1-s_3-s_9-|
424,|-|-|-s_3-s_1-|-|-|-|-s_0
425,|-s_6-|-s_6-|-|-s_6-s_4-s_3-|
426,|-|-|-s_0-s_9-s_2-s_9-|-s_6-|
427,s_2-s_5-|-s_4-s_1-|-|-|-|-|
428,|-s_5-|-|-s_9-s_8-s_3-s_3-|-|
429,s_6-|-s_0-s_3-s_9-|-s_9-|-|-s_2
430,|-|-s_3-s_9-|-|-s_0-s_1-|-s_4
431,s_3-s_8-|-s_9-|-|-s_0-|-s_4-|
432,|-s_4-|-|-|-|-|-|-|-s_8
433,s_0-s_7-s_5-s_8-|-|-|-|-s_2-|
434,|-s_6-|-|-s_9-|-|-|-|-|
